epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1_score,val_f1_score
1,8.300103804644417,8008.264755458048,0.0009750812567713976,0.026863084922010397,2.485901509985492e-06,0.0007216253315271424,0.0009750812567713976,0.026863084922010397,4.9589846419014615e-06,0.0014054947385355651
2,7499.241798902465,229.942260533163,0.026218851570964246,0.00779896013864818,0.0006874281777002544,6.082377924422325e-05,0.026218851570964246,0.00779896013864818,0.0013397301689555211,0.00012070617583462359
3,187.4992680533122,8.203101667639327,0.0071505958829902495,0.007365684575389948,5.1131021481837104e-05,0.017367897046351267,0.0071505958829902495,0.007365684575389948,0.00010153600005967221,0.002486166888613128
4,8.03492711242095,8.191999860005836,0.006717226435536294,0.026429809358752165,0.01920484235068811,0.0522724619376376,0.006717226435536294,0.026429809358752165,0.0025907488428583204,0.02324255395887313
5,7.841856456545398,7.997473403199078,0.024593716143011916,0.060658578856152515,0.053603562061409205,0.07376839230349544,0.024593716143011916,0.060658578856152515,0.02183765666156294,0.0570521719931149
6,7.406806683457846,7.956496970294273,0.06164680390032503,0.0632582322357019,0.06632832301403432,0.07367781050869068,0.06164680390032503,0.0632582322357019,0.058077632905961504,0.05815251436283738
7,7.332563439867489,7.9220261900392295,0.06413867822318527,0.06412478336221837,0.07576402561787605,0.07746109221350511,0.06413867822318527,0.06412478336221837,0.059721600463156554,0.05757287646130458
8,7.263546616973349,7.891615155625017,0.06684723726977249,0.07062391681109186,0.08537651783357739,0.08059964587244994,0.06684723726977249,0.07062391681109186,0.06200056894566523,0.06337332680673442
9,7.195425469157605,7.864493259011883,0.07258938244853738,0.07712305025996534,0.0952630053337735,0.08311840348557606,0.07258938244853738,0.07712305025996534,0.06782331063877094,0.06937366186400218
10,7.134177044601176,7.841394835955476,0.0781148429035753,0.08708838821490468,0.10259290723283142,0.0986482507650222,0.0781148429035753,0.08708838821490468,0.07291013728448549,0.07867468985371634
